Event Type,Duration (hrs),Photographers,Location,Editing Level,Additional Services,Photographer Rating,Cost
Wedding,9,5,Suburban,Basic,None,4.1,3605.0
Anniversary,3,5,Beach,Advanced,None,3.9,2695.0
Birthday,11,1,City,Basic,Live Streaming,5.0,2750.0
Wedding,5,5,Mountain,Basic,Live Streaming,3.9,3695.0
Concert,7,2,Beach,Standard,Photo Album,4.1,3505.0
Wedding,4,1,City,Standard,Photo Album,3.8,2490.0
Concert,2,2,Beach,Premium,Instant Prints,4.2,2960.0
Sports,7,4,Beach,Standard,Photo Album,3.8,3690.0
Concert,7,1,Suburban,Basic,None,4.3,3115.0
Concert,8,2,City,Advanced,Live Streaming,4.6,3930.0
Engagement,11,3,City,Premium,Photo Album,4.4,3420.0
Wedding,10,4,Beach,Standard,None,4.9,3545.0
Concert,11,5,Rural,Premium,Photo Album,4.2,4510.0
Engagement,9,3,Suburban,Basic,Drone,3.8,3290.0
Engagement,4,4,City,Basic,Instant Prints,3.7,2835.0
Anniversary,8,5,Suburban,Standard,Drone,4.8,3540.0
Concert,3,1,Mountain,Premium,Drone,4.6,3030.0
Corporate,10,1,Beach,Basic,Drone,4.1,2705.0
Wedding,8,2,Mountain,Standard,None,4.1,2905.0
Wedding,2,4,Suburban,Basic,Photo Album,4.0,2900.0
Anniversary,8,3,Suburban,Advanced,Live Streaming,4.0,3300.0
Fashion Show,8,2,Beach,Standard,Photo Album,3.7,4085.0
Concert,2,5,Suburban,Advanced,Photo Album,4.0,3600.0
Engagement,9,5,Rural,Standard,Drone,3.6,3680.0
Concert,6,4,City,Basic,None,3.8,3590.0
Birthday,7,1,Mountain,Basic,Photo Album,4.5,2025.0
Fashion Show,11,4,Beach,Standard,Drone,3.9,4895.0
Concert,10,2,Suburban,Premium,Live Streaming,4.1,4105.0
Corporate,6,3,Beach,Advanced,Drone,5.0,2750.0
Birthday,3,1,Beach,Advanced,Live Streaming,3.7,1885.0
Anniversary,9,5,Beach,Basic,Live Streaming,4.9,3845.0
Sports,6,3,Mountain,Standard,Instant Prints,4.5,3375.0
Birthday,9,4,Rural,Advanced,Live Streaming,4.4,3120.0
Wedding,7,4,Rural,Advanced,Instant Prints,4.0,3350.0
Fashion Show,10,5,Beach,Advanced,Live Streaming,3.5,5175.0
Birthday,5,5,Rural,Basic,Instant Prints,4.4,2570.0
Corporate,11,3,Mountain,Basic,Instant Prints,4.0,3050.0
Fashion Show,4,5,Beach,Premium,Live Streaming,4.9,4645.0
Fashion Show,4,4,City,Standard,None,3.8,3890.0
Engagement,4,3,Mountain,Standard,Live Streaming,3.7,2985.0
Wedding,5,4,City,Advanced,Instant Prints,3.6,3130.0
Engagement,7,5,City,Premium,Live Streaming,3.9,3695.0
Concert,7,3,Beach,Premium,Drone,3.6,3780.0
Birthday,5,2,City,Premium,Photo Album,4.4,2020.0
Anniversary,3,2,Rural,Advanced,None,4.5,2125.0
Fashion Show,9,3,Rural,Basic,Instant Prints,4.2,4360.0
Sports,10,5,Suburban,Basic,None,4.1,4005.0
Anniversary,10,4,Rural,Advanced,None,4.1,3205.0
Wedding,4,1,Beach,Basic,Live Streaming,4.6,2830.0
Engagement,2,4,Suburban,Basic,Photo Album,4.1,2705.0
Concert,10,3,Suburban,Standard,Photo Album,4.0,4000.0
Engagement,4,3,Beach,Advanced,Live Streaming,3.7,2985.0
Sports,2,3,Suburban,Premium,Photo Album,3.7,2985.0
Birthday,9,4,Mountain,Basic,Instant Prints,4.9,2795.0
Corporate,4,1,Beach,Advanced,None,4.3,1815.0
Wedding,10,2,Beach,Standard,None,3.9,3095.0
Wedding,4,5,Mountain,Basic,Instant Prints,4.5,3275.0
Birthday,4,2,Mountain,Basic,Drone,4.7,2035.0
Anniversary,8,3,Suburban,Premium,Live Streaming,4.7,3335.0
Anniversary,6,2,Mountain,Standard,Live Streaming,4.5,2925.0
Sports,10,3,Suburban,Basic,Live Streaming,4.0,4100.0
Engagement,8,5,Mountain,Basic,Photo Album,4.3,3515.0
Anniversary,3,1,Mountain,Premium,Photo Album,4.4,2120.0
Concert,4,4,Beach,Premium,Instant Prints,4.6,3580.0
Birthday,3,5,Rural,Advanced,None,4.1,2205.0
Engagement,4,4,Mountain,Basic,None,4.4,2720.0
Birthday,6,5,City,Basic,Drone,4.4,2820.0
Corporate,4,3,Suburban,Basic,Instant Prints,5.0,2400.0
Fashion Show,6,5,Rural,Premium,None,3.7,4285.0
Concert,8,5,Mountain,Advanced,Instant Prints,3.7,4135.0
Anniversary,8,2,Suburban,Basic,Live Streaming,4.1,3105.0
Anniversary,3,1,City,Basic,Live Streaming,3.9,2395.0
Concert,3,4,Suburban,Basic,Live Streaming,4.1,3805.0
Birthday,10,3,City,Standard,Drone,4.5,2825.0
Sports,4,3,Mountain,Basic,Photo Album,4.7,3235.0
Concert,12,3,Suburban,Basic,Photo Album,3.9,4195.0
Sports,7,3,Rural,Advanced,None,4.9,3345.0
Sports,10,5,Suburban,Basic,Instant Prints,5.0,4200.0
Engagement,11,5,Mountain,Standard,Drone,3.9,3895.0
Fashion Show,4,5,City,Advanced,Drone,3.8,4390.0
Engagement,7,4,City,Standard,Drone,4.1,3305.0
Anniversary,9,1,Mountain,Basic,Drone,3.8,2790.0
Corporate,8,4,Suburban,Basic,None,4.3,2815.0
Engagement,6,2,Rural,Advanced,Instant Prints,3.8,2640.0
Engagement,6,5,Rural,Premium,Photo Album,4.3,3315.0
Wedding,2,2,Suburban,Premium,Live Streaming,4.8,2840.0
Fashion Show,6,4,Beach,Advanced,Drone,4.0,4400.0
Sports,2,5,City,Advanced,None,4.3,3215.0
Concert,7,5,Beach,Advanced,None,4.0,3900.0
Fashion Show,3,3,Beach,Advanced,Instant Prints,4.1,3755.0
Engagement,4,3,City,Standard,Live Streaming,3.5,2975.0
Fashion Show,4,5,Suburban,Standard,Live Streaming,4.0,4600.0
Fashion Show,10,1,Mountain,Standard,Live Streaming,4.8,4440.0
Engagement,9,5,Rural,Basic,Drone,4.2,3710.0
Corporate,12,2,Rural,Advanced,Drone,3.9,3095.0
Anniversary,6,2,Beach,Premium,Drone,4.7,2735.0
Sports,6,4,Suburban,Basic,Photo Album,3.8,3590.0
Engagement,5,3,Rural,Premium,Drone,4.9,2945.0
Corporate,9,4,City,Premium,Instant Prints,4.5,3075.0
Birthday,10,5,Rural,Basic,Live Streaming,4.4,3420.0
Sports,4,1,Rural,Basic,Live Streaming,4.6,3130.0
Wedding,4,1,Mountain,Basic,None,4.5,2325.0
Sports,4,3,Rural,Advanced,None,4.4,3020.0
Birthday,5,4,Rural,Basic,None,4.8,2240.0
Concert,7,2,Suburban,Advanced,Photo Album,4.7,3535.0
Concert,2,5,Rural,Basic,Live Streaming,4.8,3940.0
Sports,3,3,Mountain,Advanced,None,3.8,2890.0
Sports,5,3,Rural,Premium,Instant Prints,4.6,3280.0
Corporate,5,4,City,Standard,None,3.7,2485.0
Anniversary,8,1,City,Standard,Drone,3.6,2680.0
Wedding,9,5,City,Standard,Drone,4.2,3910.0
Birthday,7,1,Mountain,Premium,Instant Prints,4.5,1975.0
Fashion Show,7,2,City,Basic,Instant Prints,3.9,3945.0
Anniversary,11,1,City,Premium,Live Streaming,3.6,3180.0
Concert,5,1,Suburban,Basic,Live Streaming,4.1,3405.0
Fashion Show,9,1,City,Standard,Instant Prints,3.6,3930.0
Concert,11,4,Suburban,Advanced,Live Streaming,4.3,4615.0
Concert,2,2,Rural,Premium,Instant Prints,4.6,2980.0
Fashion Show,5,3,Suburban,Basic,Instant Prints,4.9,3995.0
Fashion Show,2,4,Beach,Premium,Live Streaming,4.7,4235.0
Engagement,11,5,Suburban,Standard,Instant Prints,4.2,3760.0
Sports,3,4,Beach,Advanced,None,4.7,3135.0
Fashion Show,11,1,Beach,Basic,Drone,4.8,4340.0
Sports,7,2,Rural,Basic,Live Streaming,4.7,3635.0
Sports,3,2,Rural,Standard,Drone,3.6,2980.0
Wedding,10,1,Beach,Basic,None,4.2,2910.0
Engagement,4,4,Suburban,Basic,Drone,4.4,3020.0
Sports,9,1,Rural,Premium,Drone,4.0,3400.0
Concert,3,2,City,Standard,None,3.8,2890.0
Fashion Show,2,2,Suburban,Basic,Drone,4.7,3635.0
Anniversary,5,4,Suburban,Premium,Instant Prints,4.4,2870.0
Fashion Show,8,5,Suburban,Premium,None,3.7,4485.0
Fashion Show,8,1,Rural,Basic,Drone,4.5,4025.0
Concert,9,4,City,Basic,Photo Album,4.4,4120.0
Anniversary,11,2,Beach,Basic,Instant Prints,4.4,3070.0
Anniversary,9,1,Mountain,Standard,Instant Prints,3.5,2625.0
Wedding,7,5,Beach,Standard,Instant Prints,4.4,3570.0
Anniversary,9,2,City,Advanced,Photo Album,4.5,2925.0
Anniversary,12,5,Beach,Advanced,Instant Prints,3.6,3730.0
Corporate,7,5,Mountain,Standard,Instant Prints,4.4,3070.0
Fashion Show,3,5,Rural,Advanced,None,4.6,4030.0
Wedding,5,3,City,Premium,Photo Album,3.7,2985.0
Engagement,6,4,Mountain,Premium,Photo Album,4.4,3120.0
Anniversary,10,3,Rural,Advanced,None,4.1,3005.0
Wedding,9,1,Beach,Advanced,Instant Prints,4.3,2965.0
Anniversary,7,1,City,Standard,Live Streaming,4.7,2835.0
Engagement,7,5,City,Premium,Instant Prints,4.3,3365.0
Fashion Show,3,1,Rural,Premium,Live Streaming,4.5,3725.0
Sports,10,5,Suburban,Standard,Instant Prints,4.4,4170.0
Anniversary,10,5,City,Basic,Drone,4.5,3725.0
Anniversary,7,5,City,Basic,Instant Prints,3.9,3245.0
Wedding,2,1,Beach,Premium,None,3.6,2080.0
Wedding,11,5,Rural,Advanced,Drone,4.2,4110.0
Anniversary,8,4,City,Advanced,Photo Album,4.8,3240.0
Concert,8,1,Suburban,Basic,Photo Album,4.6,3430.0
Fashion Show,9,4,Rural,Standard,Live Streaming,3.6,4880.0
Engagement,4,3,City,Basic,Live Streaming,3.8,2990.0
Wedding,3,3,City,Standard,Photo Album,4.8,2840.0
Fashion Show,5,3,Rural,Basic,Photo Album,3.7,3985.0
Anniversary,12,5,Suburban,Advanced,Instant Prints,4.2,3760.0
Anniversary,9,2,Mountain,Premium,Photo Album,4.5,2925.0
Sports,11,4,Rural,Basic,Drone,4.5,4225.0
Fashion Show,9,5,Rural,Advanced,None,4.5,4625.0
Anniversary,11,4,Beach,Basic,None,4.5,3325.0
Concert,7,3,City,Advanced,Instant Prints,4.0,3650.0
Concert,10,2,Beach,Advanced,None,4.4,3620.0
Engagement,12,5,Mountain,Advanced,Drone,4.3,4015.0
Engagement,5,3,Rural,Standard,None,4.0,2600.0
Wedding,8,4,Beach,Advanced,Instant Prints,4.0,3450.0
Sports,5,1,City,Basic,Photo Album,3.9,2895.0
Engagement,6,3,Mountain,Standard,Live Streaming,4.6,3230.0
Anniversary,7,4,Beach,Premium,Drone,4.3,3215.0
Birthday,8,2,City,Basic,Live Streaming,3.9,2595.0
Concert,4,1,Suburban,Standard,Instant Prints,3.6,2930.0
Birthday,5,3,Mountain,Basic,Live Streaming,4.9,2545.0
Fashion Show,10,2,Mountain,Advanced,Drone,3.9,4395.0
Wedding,11,5,Rural,Advanced,None,4.4,3820.0
Sports,7,1,Suburban,Standard,None,4.7,2935.0
Engagement,10,3,Beach,Basic,Instant Prints,4.8,3290.0
Wedding,10,5,City,Basic,Instant Prints,4.0,3850.0
Wedding,3,4,Beach,Basic,Live Streaming,4.3,3315.0
Corporate,9,2,Mountain,Basic,Instant Prints,3.6,2630.0
Wedding,11,3,City,Premium,Live Streaming,4.5,3925.0
Sports,5,4,Beach,Standard,Photo Album,3.6,3480.0
Anniversary,4,3,Mountain,Basic,Instant Prints,3.6,2530.0
Wedding,10,4,Mountain,Advanced,Instant Prints,4.3,3665.0
Wedding,2,2,Rural,Standard,Instant Prints,3.8,2440.0
Concert,3,3,City,Premium,Drone,4.5,3425.0
Wedding,9,3,Rural,Basic,Photo Album,4.5,3425.0
Concert,8,5,Mountain,Basic,None,4.9,4045.0
Fashion Show,7,1,City,Premium,Photo Album,3.8,3790.0
Wedding,8,2,City,Standard,None,4.5,2925.0
Fashion Show,8,3,Suburban,Basic,Live Streaming,4.4,4620.0
Sports,7,1,Mountain,Basic,Instant Prints,4.0,3050.0
Sports,3,2,Beach,Advanced,Drone,3.9,2995.0
Concert,6,2,Suburban,Basic,None,4.5,3225.0
Birthday,4,2,City,Premium,Live Streaming,3.7,2185.0
Sports,12,3,Suburban,Premium,Drone,4.2,4110.0
Sports,2,1,Beach,Standard,Drone,4.2,2710.0
Wedding,5,3,Rural,Standard,Instant Prints,4.0,2950.0
Anniversary,5,5,Beach,Premium,Instant Prints,4.2,3060.0
Corporate,12,1,Mountain,Standard,Photo Album,4.8,2840.0
Corporate,12,4,Rural,Premium,None,4.7,3235.0
Engagement,8,4,Rural,Standard,None,4.2,3110.0
Corporate,10,3,City,Advanced,Photo Album,4.7,3035.0
Anniversary,8,4,Rural,Advanced,Photo Album,4.9,3245.0
Fashion Show,6,4,City,Advanced,None,4.4,4120.0
Anniversary,6,3,Rural,Standard,None,4.3,2615.0
Wedding,4,4,Suburban,Basic,Drone,4.4,3220.0
Anniversary,10,2,Beach,Advanced,Live Streaming,4.2,3310.0
Engagement,12,5,Rural,Premium,None,5.0,3750.0
Fashion Show,5,3,Beach,Advanced,Drone,3.7,4085.0
Concert,11,2,Mountain,Standard,Drone,4.0,4000.0
Sports,8,2,Beach,Basic,Live Streaming,4.6,3730.0
Fashion Show,11,4,Beach,Standard,Drone,4.6,4930.0
Sports,12,1,Rural,Advanced,None,4.9,3445.0
Wedding,8,2,Mountain,Premium,Live Streaming,4.5,3425.0
Wedding,10,2,Suburban,Advanced,Photo Album,3.9,3295.0
Sports,7,5,Beach,Premium,Live Streaming,5.0,4250.0
Concert,5,3,Suburban,Premium,Live Streaming,4.7,3835.0
Fashion Show,5,2,Mountain,Premium,Photo Album,3.6,3780.0
Corporate,3,4,Suburban,Advanced,Photo Album,3.7,2485.0
Engagement,8,4,Mountain,Basic,None,3.9,3095.0
Engagement,6,1,Mountain,Premium,Instant Prints,4.1,2455.0
Engagement,2,4,Suburban,Basic,Live Streaming,3.6,2980.0
Fashion Show,5,5,Rural,Standard,None,4.3,4215.0
Fashion Show,7,1,Beach,Standard,None,4.5,3625.0
Engagement,11,5,Suburban,Advanced,Photo Album,3.6,3780.0
Wedding,2,5,Suburban,Advanced,None,3.7,2885.0
Concert,7,2,Suburban,Standard,Instant Prints,4.6,3480.0
Sports,2,2,Beach,Premium,Live Streaming,4.8,3140.0
Sports,11,3,Suburban,Basic,None,4.7,3735.0
Anniversary,6,2,Beach,Standard,Live Streaming,4.8,2940.0
Anniversary,7,2,Mountain,Premium,Drone,3.6,2780.0
Fashion Show,10,2,Beach,Advanced,Instant Prints,3.7,4235.0
Anniversary,6,1,Mountain,Standard,Instant Prints,4.7,2385.0
Corporate,3,4,Suburban,Advanced,Instant Prints,4.9,2495.0
Anniversary,12,4,Mountain,Basic,Photo Album,3.5,3575.0
Birthday,2,3,Beach,Advanced,None,3.8,1690.0
Engagement,6,4,City,Advanced,Live Streaming,4.8,3440.0
Engagement,10,3,Rural,Premium,Live Streaming,4.5,3625.0
Corporate,12,1,Rural,Standard,Live Streaming,4.5,3125.0
Engagement,10,1,City,Basic,Instant Prints,4.3,2865.0
Fashion Show,3,4,Mountain,Advanced,Photo Album,4.3,4015.0
Corporate,9,3,City,Premium,Instant Prints,3.6,2830.0
Fashion Show,12,1,City,Advanced,Live Streaming,3.9,4595.0
Corporate,12,2,Suburban,Basic,Photo Album,3.6,2980.0
Fashion Show,5,5,Rural,Standard,Instant Prints,4.4,4370.0
Engagement,12,2,Mountain,Advanced,Photo Album,3.6,3280.0
Corporate,4,2,Beach,Basic,Drone,3.5,2275.0
Anniversary,12,1,Beach,Premium,Photo Album,4.9,3045.0
Engagement,9,1,City,Standard,Instant Prints,4.9,2795.0
Birthday,9,1,Beach,Basic,Instant Prints,3.9,2145.0
Concert,4,4,Rural,Premium,Photo Album,3.8,3590.0
Fashion Show,8,1,Mountain,Advanced,Instant Prints,3.7,3835.0
Fashion Show,12,1,Mountain,Standard,None,4.1,4105.0
Concert,7,4,Rural,Basic,Instant Prints,4.1,3855.0
Fashion Show,12,1,Rural,Standard,Live Streaming,3.7,4585.0
Birthday,4,2,City,Advanced,Instant Prints,4.2,1860.0
Anniversary,6,3,Beach,Standard,Drone,4.6,2930.0
Sports,8,3,Rural,Premium,Live Streaming,4.4,3920.0
Anniversary,7,1,Rural,Standard,None,3.7,2285.0
Concert,9,3,Beach,Standard,Photo Album,4.0,3900.0
Engagement,9,3,Mountain,Premium,Live Streaming,4.4,3520.0
Wedding,10,4,Suburban,Standard,Live Streaming,5.0,4050.0
Wedding,9,3,Beach,Basic,None,4.2,3210.0
Engagement,12,4,Rural,Advanced,Photo Album,4.3,3715.0
Corporate,3,3,Mountain,Basic,Photo Album,3.7,2285.0
Sports,2,5,Rural,Advanced,Live Streaming,4.8,3740.0
Corporate,2,3,City,Advanced,Photo Album,4.1,2205.0
Engagement,12,2,Suburban,Premium,Photo Album,4.7,3335.0
Corporate,2,3,Rural,Standard,Photo Album,4.7,2235.0
Engagement,7,2,Rural,Standard,Drone,4.8,2940.0
Birthday,11,5,Beach,Standard,Drone,4.3,3315.0
Wedding,9,4,Suburban,Premium,Photo Album,4.5,3625.0
Engagement,10,3,Suburban,Advanced,Photo Album,4.1,3305.0
Anniversary,8,1,Mountain,Premium,Drone,3.6,2680.0
Concert,6,5,Suburban,Advanced,Photo Album,3.7,3985.0
Fashion Show,5,1,Rural,Premium,Drone,3.6,3680.0
Fashion Show,12,2,City,Standard,Live Streaming,4.7,4835.0
Fashion Show,11,1,Suburban,Standard,Drone,4.3,4315.0
Anniversary,9,4,Beach,Advanced,None,4.4,3120.0
Wedding,12,1,Mountain,Premium,None,3.9,3095.0
Wedding,4,3,Rural,Premium,Instant Prints,3.7,2835.0
Corporate,6,4,Suburban,Advanced,Photo Album,4.2,2810.0
Sports,4,4,Suburban,Basic,Live Streaming,4.9,3745.0
Birthday,11,2,Beach,Standard,Instant Prints,3.5,2525.0
Engagement,7,3,Mountain,Premium,None,4.1,2805.0
Engagement,10,4,Suburban,Standard,Photo Album,3.9,3495.0
Birthday,2,3,Suburban,Standard,Drone,3.7,1985.0
Sports,9,1,Suburban,Advanced,Instant Prints,4.0,3250.0
Corporate,10,1,Rural,Basic,Live Streaming,4.5,2925.0
Fashion Show,9,5,City,Premium,None,4.3,4615.0
Anniversary,9,2,City,Premium,Instant Prints,3.8,2840.0
Concert,5,2,City,Basic,Drone,4.6,3430.0
Birthday,9,2,Beach,Standard,Instant Prints,4.0,2350.0
Corporate,9,3,Rural,Premium,Photo Album,4.7,2935.0
Corporate,9,3,Rural,Premium,Drone,4.0,3000.0
Birthday,4,1,City,Premium,Instant Prints,4.1,1655.0
Corporate,8,5,Beach,Basic,Drone,4.2,3310.0
Birthday,10,2,Rural,Standard,Photo Album,4.0,2500.0
Wedding,7,3,Suburban,Advanced,Drone,3.7,3285.0
Concert,2,1,Suburban,Advanced,None,4.2,2610.0
Sports,9,4,Beach,Standard,None,4.6,3730.0
Anniversary,5,1,City,Advanced,None,3.8,2090.0
Concert,12,5,Rural,Standard,Instant Prints,3.7,4535.0
Sports,8,5,Suburban,Advanced,Instant Prints,4.3,3965.0
Engagement,6,4,City,Premium,Drone,4.9,3245.0
Anniversary,4,4,Rural,Standard,None,4.5,2625.0
Fashion Show,10,3,Suburban,Advanced,Drone,4.8,4640.0
Corporate,12,1,Beach,Advanced,None,4.1,2605.0
Birthday,10,1,Rural,Basic,Photo Album,4.9,2345.0
Engagement,5,1,Suburban,Standard,Photo Album,4.4,2420.0
Birthday,11,2,Beach,Premium,Drone,4.2,2710.0
Birthday,9,2,Mountain,Basic,Photo Album,4.4,2420.0
Wedding,8,1,Suburban,Premium,Drone,4.8,3040.0
Wedding,12,3,Suburban,Standard,Live Streaming,4.5,4025.0
Anniversary,6,4,City,Basic,Live Streaming,3.5,3275.0
Wedding,11,5,City,Basic,Live Streaming,4.6,4330.0
Wedding,10,2,Suburban,Advanced,Photo Album,4.3,3315.0
Sports,2,1,Suburban,Premium,Live Streaming,4.4,2920.0
Concert,8,4,City,Basic,Live Streaming,3.6,4280.0
Wedding,6,1,City,Advanced,Drone,4.9,2845.0
Engagement,8,1,Suburban,Advanced,Live Streaming,4.3,3015.0
Wedding,9,1,Beach,Basic,Photo Album,4.1,3005.0
Sports,7,1,City,Advanced,Instant Prints,4.8,3090.0
Corporate,10,3,Suburban,Premium,Photo Album,4.8,3040.0
Birthday,12,1,City,Basic,Photo Album,5.0,2550.0
Fashion Show,9,1,Suburban,Basic,Photo Album,4.7,4035.0
Wedding,12,4,Rural,Basic,Live Streaming,4.1,4205.0
Wedding,6,3,Rural,Advanced,None,4.5,2925.0
Birthday,6,5,Beach,Basic,Photo Album,4.4,2720.0
Fashion Show,6,1,Beach,Standard,Live Streaming,4.0,4000.0
Concert,4,1,Rural,Premium,Photo Album,4.1,3005.0
Wedding,3,1,Rural,Basic,Live Streaming,4.3,2715.0
Sports,9,5,Suburban,Premium,Photo Album,3.8,4090.0
Birthday,7,5,Suburban,Standard,None,4.0,2600.0
Anniversary,11,2,Suburban,Basic,Photo Album,3.6,3080.0
Sports,8,5,Rural,Basic,Photo Album,3.5,3975.0
Birthday,11,1,Rural,Standard,Drone,4.1,2505.0
Sports,6,5,Rural,Basic,Photo Album,4.5,3825.0
Birthday,2,1,City,Advanced,Photo Album,4.5,1525.0
Sports,2,3,Mountain,Standard,None,4.3,2815.0
Wedding,10,3,Rural,Standard,Live Streaming,4.3,3815.0
Fashion Show,10,4,Beach,Basic,None,3.8,4490.0
Engagement,6,5,City,Standard,Drone,3.7,3385.0
Birthday,5,4,City,Basic,Drone,4.8,2540.0
Engagement,8,4,City,Basic,Live Streaming,3.5,3575.0
Sports,11,5,Mountain,Premium,Live Streaming,4.6,4630.0
Corporate,5,5,City,Premium,Instant Prints,4.5,2875.0
Corporate,12,4,Suburban,Premium,None,4.5,3225.0
Corporate,4,3,Beach,Advanced,Drone,4.1,2505.0
Sports,6,1,Suburban,Premium,Drone,4.3,3115.0
Engagement,6,2,Mountain,Basic,Live Streaming,4.4,3020.0
Engagement,6,4,Beach,Premium,None,3.5,2875.0
Corporate,4,5,Beach,Standard,None,4.5,2625.0
Fashion Show,10,5,Beach,Premium,Instant Prints,4.6,4880.0
Sports,7,5,Suburban,Premium,Drone,4.8,4040.0
Birthday,7,5,Rural,Premium,Instant Prints,4.8,2790.0
Anniversary,8,4,Rural,Standard,Drone,4.1,3305.0
Engagement,9,2,Rural,Advanced,Photo Album,4.9,3045.0
Birthday,9,2,Rural,Standard,Live Streaming,4.2,2710.0
Concert,4,5,City,Premium,Drone,5.0,3950.0
Wedding,5,1,Beach,Standard,Drone,4.1,2705.0
Concert,10,4,Beach,Advanced,Drone,3.6,4280.0
Concert,11,3,Beach,Advanced,Photo Album,3.8,4090.0
Fashion Show,3,1,Suburban,Advanced,Live Streaming,5.0,3750.0
Birthday,10,4,Rural,Standard,Drone,4.1,3005.0
Corporate,6,1,Beach,Advanced,Drone,4.6,2330.0
Anniversary,4,4,Beach,Standard,None,3.8,2590.0
Corporate,10,2,Mountain,Standard,Photo Album,3.5,2775.0
Concert,4,4,City,Advanced,Drone,3.5,3675.0
Anniversary,8,4,City,Standard,None,4.7,3035.0
Birthday,3,5,City,Standard,Instant Prints,3.7,2335.0
Engagement,9,3,Rural,Basic,Drone,3.7,3285.0
Concert,3,5,Rural,Premium,Drone,4.7,3835.0
Birthday,4,3,City,Basic,Photo Album,4.9,2145.0
Birthday,7,2,Rural,Basic,None,4.2,2010.0
Wedding,4,5,Beach,Premium,Live Streaming,4.5,3625.0
Wedding,8,5,Suburban,Advanced,Photo Album,4.4,3720.0
Wedding,7,4,Suburban,Advanced,Drone,4.5,3525.0
Concert,5,1,Beach,Premium,Live Streaming,4.5,3425.0
Wedding,10,1,Beach,Basic,Live Streaming,4.7,3435.0
Sports,4,1,Beach,Premium,Live Streaming,3.6,3080.0
Sports,2,3,Mountain,Standard,None,4.4,2820.0
Concert,7,5,Rural,Basic,Instant Prints,3.9,4045.0
Birthday,12,1,Mountain,Advanced,Live Streaming,5.0,2850.0
Concert,11,4,City,Advanced,Live Streaming,3.7,4585.0
Sports,10,2,Rural,Advanced,None,4.0,3400.0
Anniversary,10,5,Beach,Basic,Photo Album,3.7,3585.0
Fashion Show,7,1,Suburban,Advanced,Instant Prints,4.9,3795.0
Concert,12,5,Mountain,Basic,Photo Album,4.3,4615.0
Fashion Show,8,5,Beach,Premium,None,4.3,4515.0
Concert,11,1,Suburban,Standard,Photo Album,4.8,3740.0
Sports,3,3,City,Premium,Instant Prints,4.9,3095.0
Anniversary,8,4,Mountain,Basic,None,5.0,3050.0
Engagement,9,1,City,Standard,Drone,3.9,2895.0
Concert,7,5,Mountain,Standard,Photo Album,3.7,4085.0
Birthday,8,3,Mountain,Standard,Live Streaming,4.1,2805.0
Concert,9,3,Beach,Premium,Live Streaming,5.0,4250.0
Sports,10,3,Mountain,Basic,None,4.6,3630.0
Birthday,12,3,Suburban,Standard,Live Streaming,4.5,3225.0
Corporate,7,1,City,Premium,Photo Album,3.9,2295.0
Engagement,12,2,Mountain,Premium,None,4.6,3130.0
Wedding,4,5,Rural,Standard,Drone,4.0,3400.0
Wedding,6,3,Suburban,Advanced,Photo Album,5.0,3150.0
Birthday,11,3,Suburban,Basic,Instant Prints,3.7,2735.0
Concert,4,3,Rural,Basic,Drone,4.3,3515.0
Corporate,12,2,City,Standard,Instant Prints,4.4,2970.0
Corporate,4,4,Beach,Basic,Drone,4.6,2730.0
Birthday,5,3,Suburban,Basic,Drone,4.4,2320.0
Wedding,10,3,Rural,Basic,Photo Album,4.2,3510.0
Engagement,3,1,Beach,Premium,None,3.7,1985.0
Concert,2,5,City,Standard,Live Streaming,4.2,3910.0
Sports,3,1,Beach,Premium,Instant Prints,5.0,2700.0
Wedding,2,3,Mountain,Basic,Photo Album,4.1,2705.0
Concert,9,2,Rural,Standard,Photo Album,4.8,3740.0
Fashion Show,3,3,Mountain,Standard,None,4.8,3640.0
Corporate,11,4,Mountain,Premium,Photo Album,3.9,3295.0
Wedding,5,4,Beach,Advanced,None,4.3,3015.0
Sports,4,2,Beach,Advanced,Instant Prints,3.7,2935.0
Wedding,11,5,Beach,Standard,Live Streaming,4.2,4310.0
Sports,6,4,Beach,Advanced,Live Streaming,3.5,3875.0
Engagement,6,3,City,Advanced,Drone,4.3,3015.0
Birthday,5,2,Rural,Standard,Photo Album,4.1,2005.0
Fashion Show,7,5,Mountain,Advanced,Drone,4.2,4710.0
Engagement,11,3,Suburban,Premium,Live Streaming,4.9,3745.0
Birthday,5,1,Suburban,Advanced,Live Streaming,4.8,2140.0
Concert,8,3,City,Basic,None,4.8,3640.0
Anniversary,5,4,Rural,Basic,Photo Album,3.5,2875.0
Anniversary,11,3,City,Basic,Photo Album,3.7,3285.0
Anniversary,11,4,Suburban,Premium,Live Streaming,4.9,3845.0
Corporate,2,4,City,Premium,Drone,3.5,2475.0
Concert,4,4,Rural,Standard,Live Streaming,3.6,3880.0
Anniversary,8,3,Rural,Advanced,Drone,4.3,3115.0
Sports,6,2,Mountain,Basic,None,4.0,3000.0
Corporate,3,2,Rural,Advanced,Instant Prints,4.4,2070.0
Wedding,12,1,Suburban,Advanced,Drone,4.4,3420.0
Wedding,7,4,Rural,Standard,Photo Album,3.9,3395.0
Birthday,4,2,City,Basic,Instant Prints,4.6,1880.0
Wedding,4,2,Mountain,Advanced,Photo Album,4.7,2735.0
